[2024-03-20 15:42:43,370] [drone_actions] INFO Battery State 0: Normal
[2024-03-20 15:42:44,372] [drone_actions] INFO Battery State 1: Mild
[2024-03-20 15:42:44,372] [drone_actions] INFO Overall State 1: Mild
[2024-03-20 15:42:45,371] [drone_actions] INFO Sensor Anomaly State 3: Critical
[2024-03-20 15:42:45,371] [drone_actions] INFO Overall State 3: Critical
[2024-03-20 15:42:45,371] [drone_actions] INFO [31mAction: Emergency landing is advised[0m
[2024-03-20 15:42:45,374] [drone_actions] INFO Battery State 1: Mild
[2024-03-20 15:42:46,375] [drone_actions] INFO Battery State 2: Severe
[2024-03-20 15:42:46,376] [drone_actions] INFO Overall State 3: Critical
[2024-03-20 15:42:47,372] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-20 15:42:47,372] [drone_actions] INFO Overall State 2: Severe
[2024-03-20 15:42:47,372] [drone_actions] INFO [91mAction: Plan to return to home immediately[0m
[2024-03-20 15:42:47,377] [drone_actions] INFO Battery State 2: Severe
[2024-03-21 15:22:59,573] [drone_actions] INFO Overall state 0: Normal
[2024-03-21 15:23:00,575] [drone_actions] INFO Battery State 0: Normal
[2024-03-21 15:23:00,575] [drone_actions] INFO Overall State 0: Normal
[2024-03-21 15:23:00,575] [drone_actions] INFO [92mAction: Continue mission[0m
[2024-03-21 15:23:01,576] [drone_actions] INFO Sensor Anomaly State 3: Critical
[2024-03-21 15:23:01,577] [drone_actions] INFO Overall State 3: Critical
[2024-03-21 15:23:01,578] [drone_actions] INFO [31mAction: Emergency landing is advised[0m
[2024-03-21 15:23:01,578] [drone_actions] INFO Battery State 0: Normal
[2024-03-21 15:23:02,581] [drone_actions] INFO Battery State 1: Mild
[2024-03-21 15:23:02,581] [drone_actions] INFO Overall State 3: Critical
[2024-03-21 15:23:03,581] [drone_actions] INFO Sensor Anomaly State 0: Normal
[2024-03-21 15:23:03,582] [drone_actions] INFO Overall State 1: Mild
[2024-03-21 15:23:03,582] [drone_actions] INFO [93mAction: Consider returning to home soon[0m
[2024-03-21 15:23:03,583] [drone_actions] INFO Battery State 1: Mild
[2024-03-21 15:23:04,585] [drone_actions] INFO Battery State 2: Severe
